id,date,process,pending,approved
2052,09-07-2025,PSPCL,0,161
2058,08-07-2025,"Muthoot Finance",0,1
2061,09-07-2025,"Muthoot Finance",0,1
2063,10-07-2025,Mpokket,0,1
2064,10-07-2025,"Muthoot Finance",0,1
2065,10-07-2025,Unknown,0,10
2081,09-07-2025,VD2H-HYD,0,17
2083,10-07-2025,VD2H-HYD,0,17
2084,10-07-2025,"MMT FILLER",0,12
2085,10-07-2025,"MMT Flight",0,27
2087,09-07-2025,"DISH IB-HYD",0,16
2089,10-07-2025,"DISH IB-HYD",0,1
2091,10-07-2025,"SBI Card",0,2
2093,10-07-2025,Qurex,0,3
2094,10-07-2025,MOT,0,53
2096,10-07-2025,"Max life-SDPL",0,73
2210,10-07-2025,Adani,0,17
2211,10-07-2025,"GoQii-Inbound	",0,2
2212,10-07-2025,GoQii-Outbound,0,2
2213,10-07-2025,"HDFC PERSISTENCY",0,16
2214,10-07-2025,"I-Pru Mumbai ",0,41
2215,10-07-2025,"IDFC Cross Sale",0,163
2216,10-07-2025,"IDFC Digi Sales",0,12
2217,10-07-2025,Jio-Insure,0,13
2218,10-07-2025,"L&T SME",0,8
2219,10-07-2025,"L&T Services-Mumbai",0,25
2220,10-07-2025,MGL,0,24
2221,10-07-2025,"Nayara Mumbai",0,9
2222,10-07-2025,"Reliance Nippon",0,54
2224,10-07-2025,"Yes Bank",0,64
2227,10-07-2025,NHA,0,1
2229,11-07-2025,NHA,0,1
2230,11-07-2025,Unknown,0,4
2231,11-07-2025,"MMT FILLER",0,10
2232,11-07-2025,"MMT Flight",0,26
2236,10-07-2025,ZET,0,17
2237,11-07-2025,Mpokket,0,139
2239,11-07-2025,ZET,0,19
2240,10-07-2025,EDCIL,0,3
2241,10-07-2025,NHDC,0,1
2242,10-07-2025,"Poshan Helpline",0,35
2244,11-07-2025,EDCIL,0,3
2245,11-07-2025,MEITY,0,1
2246,11-07-2025,"Poshan Helpline",0,36
2247,11-07-2025,"Poshan Helpline-Hyd",0,21
2249,10-07-2025,"Poshan Helpline-Hyd",0,21
2365,11-07-2025,Adani,0,20
2366,11-07-2025,"GoQii-Inbound	",0,2
2367,11-07-2025,GoQii-Outbound,0,2
2368,11-07-2025,"HDFC PERSISTENCY",0,17
2369,11-07-2025,"I-Pru Mumbai ",0,35
2370,11-07-2025,"IDFC Cross Sale",0,176
2371,11-07-2025,"IDFC Digi Sales",0,12
2372,11-07-2025,Jio-Insure,0,13
2373,11-07-2025,"L&T SME",0,8
2374,11-07-2025,"L&T Services-Mumbai",0,25
2375,11-07-2025,MGL,0,22
2376,11-07-2025,"Nayara Mumbai",0,10
2377,11-07-2025,"Reliance Nippon",0,55
2379,11-07-2025,"Yes Bank",0,67
2380,11-07-2025,"SBI Card",0,1
2382,10-07-2025,"Dish TV-Backend",0,1
2384,11-07-2025,"Dish TV-Backend",0,1
2385,11-07-2025,Qurex,0,3
2387,11-07-2025,MOT,0,47
2389,11-07-2025,"Max life-SDPL",0,69
2409,09-07-2025,"GO NOISE",0,47
2413,10-07-2025,"GO NOISE",0,49
2417,11-07-2025,"GO NOISE",0,48
2426,09-07-2025,"CESC Kolkata",0,10
2427,10-07-2025,"CESC Kolkata",0,10
2428,11-07-2025,"CESC Kolkata",0,13
2440,09-07-2025,"VD2H IB-Chennai",0,37
2442,10-07-2025,"VD2H IB-Chennai",0,42
2480,09-07-2025,"Dish TV-IB",0,8
2481,09-07-2025,UNICEF,0,12
2483,09-07-2025,VIDEOCON,0,4
2485,10-07-2025,"Dish TV-IB",0,8
2486,10-07-2025,UNICEF,0,14
2488,10-07-2025,VIDEOCON,0,4
2490,11-07-2025,"Dish TV-IB",0,7
2491,11-07-2025,UNICEF,0,14
2493,11-07-2025,VIDEOCON,0,3
2513,09-07-2025,"Paytm Bank Mysore",0,22
2515,10-07-2025,"Paytm Bank Mysore",0,21
2517,11-07-2025,"Paytm Bank Mysore",0,21
2527,09-07-2025,RBI-Bhubaneswar,0,10
2528,09-07-2025,RBI-Chandigarh,0,30
2529,09-07-2025,RBI-Kochi,0,6
2531,10-07-2025,RBI-Bhubaneswar,0,10
2532,10-07-2025,RBI-Chandigarh,0,31
2533,10-07-2025,RBI-Kochi,0,7
2535,11-07-2025,RBI-Bhubaneswar,0,10
